Date,Index_Value
2015-07-06,100.0
2015-09-30,101.768456
2015-10-01,101.495206
2015-10-02,103.206996
2015-10-05,105.597062
2015-10-06,105.615476
2015-10-07,106.578129
2015-10-08,107.545665
2015-10-09,107.643336
2015-10-12,107.006667
2015-10-13,106.66192
2015-10-14,106.368554
2015-10-15,107.243247
2015-10-16,107.55509
2015-10-19,107.996844
2015-10-20,107.435169
2015-10-21,108.349491
2015-10-22,111.086907
2015-10-23,111.74483
2015-10-26,111.219145
2015-10-27,111.118494
2015-10-28,111.862457
2015-10-29,111.506138
2015-10-30,111.480531
2015-11-02,112.397549
2015-11-03,113.024666
2015-11-04,112.582047
2015-11-05,112.21716
2015-11-06,111.784654
2015-11-09,110.588269
2015-11-10,110.477993
2015-11-11,110.646328
2015-11-12,109.434124
2015-11-13,108.724991
2015-11-16,110.225776
2015-11-17,110.617128
2015-11-18,112.348517
2015-11-19,112.764025
2015-11-20,113.077859
2015-11-23,113.097392
2015-11-24,113.448725
2015-11-25,113.433006
2015-11-27,113.526119
2015-11-30,113.342503
2015-12-01,114.196548
2015-12-02,112.994885
2015-12-03,112.017056
2015-12-04,114.232368
2015-12-07,114.018579
2015-12-08,113.312626
2015-12-09,111.886786
2015-12-10,112.742568
2015-12-11,111.08749
2015-12-14,111.586198
2015-12-15,112.772217
2015-12-16,114.684855
2015-12-17,113.337098
2015-12-18,111.5998
2015-12-21,112.914036
2015-12-22,114.334746
2015-12-23,115.35702
2015-12-24,115.439245
2015-12-28,115.264189
2015-12-29,116.203457
2015-12-30,115.612332
2015-12-31,114.254479
2015-12-31,113.026362
2016-01-04,111.918134
2016-01-05,112.426148
2016-01-06,111.191501
2016-01-07,109.038231
2016-01-08,107.766303
2016-01-11,108.666602
2016-01-12,109.342132
2016-01-13,107.267814
2016-01-14,108.392254
2016-01-15,106.385569
2016-01-19,106.886942
2016-01-20,105.173904
2016-01-21,106.719475
2016-01-22,108.185635
2016-01-25,107.468985
2016-01-26,108.456333
2016-01-27,108.227214
2016-01-28,108.356185
2016-01-29,110.804531
2016-02-01,110.955983
2016-02-02,109.054693
2016-02-03,110.138903
2016-02-04,110.069162
2016-02-05,108.599319
2016-02-08,107.345654
2016-02-09,107.493069
2016-02-10,107.076816
2016-02-11,105.999938
2016-02-12,107.563406
2016-02-16,108.7518
2016-02-17,110.064532
2016-02-18,109.880139
2016-02-19,110.002825
2016-02-22,111.168001
2016-02-23,110.681879
2016-02-24,111.491399
2016-02-25,112.668065
2016-02-26,112.138858
2016-02-29,111.932574
2016-03-01,113.856077
2016-03-02,114.363392
2016-03-03,115.042693
2016-03-04,115.427035
2016-03-07,115.777659
2016-03-08,115.280404
2016-03-09,115.646595
2016-03-10,115.859047
2016-03-11,117.414504
2016-03-14,117.841986
2016-03-15,117.51057
2016-03-16,118.266199
2016-03-17,119.260208
2016-03-18,119.595903
2016-03-21,119.572336
2016-03-22,119.386465
2016-03-23,118.912517
2016-03-24,119.641859
2016-03-28,119.794723
2016-03-29,121.042274
2016-03-30,121.506342
2016-03-31,121.173827
2016-03-31,120.86301
2016-04-01,121.544295
2016-04-04,121.243275
2016-04-05,120.435799
2016-04-06,121.242193
2016-04-07,119.996588
2016-04-08,120.200701
2016-04-11,119.52331
2016-04-12,120.573236
2016-04-13,121.281478
2016-04-14,121.1624
2016-04-15,121.496546
2016-04-18,122.021192
2016-04-19,122.849562
2016-04-20,122.360256
2016-04-21,121.442998
2016-04-22,121.739524
2016-04-25,121.823527
2016-04-26,121.815384
2016-04-27,122.373326
2016-04-28,121.585353
2016-04-29,121.032922
2016-05-02,121.858833
2016-05-03,121.152684
2016-05-04,120.672947
2016-05-05,120.153891
2016-05-06,120.770364
2016-05-09,120.734155
2016-05-10,121.88021
2016-05-11,120.61639
2016-05-12,120.965707
2016-05-13,119.521192
2016-05-16,120.256482
2016-05-17,119.055875
2016-05-18,117.845185
2016-05-19,118.121624
2016-05-20,118.770761
2016-05-23,118.439747
2016-05-24,119.665887
2016-05-25,120.249682
2016-05-26,120.419888
2016-05-27,120.714265
2016-05-31,120.413841
2016-06-01,120.676706
2016-06-02,120.971195
2016-06-03,121.104291
2016-06-06,121.707019
2016-06-07,121.804328
2016-06-08,122.597259
2016-06-09,122.829218
2016-06-10,122.626773
2016-06-13,121.875887
2016-06-14,121.949269
2016-06-15,121.796149
2016-06-16,122.277127
2016-06-17,122.055665
2016-06-20,122.641187
2016-06-21,123.026306
2016-06-22,123.142098
2016-06-23,124.293877
2016-06-24,121.29834
2016-06-27,120.414083
2016-06-28,121.627216
2016-06-29,123.437618
2016-06-30,125.069737
2016-06-30,126.538765
2016-07-01,126.777671
2016-07-05,130.597217
2016-07-06,131.136859
2016-07-07,131.107673
2016-07-08,132.475999
2016-07-11,132.682685
2016-07-12,133.026017
2016-07-13,133.414063
2016-07-14,133.686146
2016-07-15,133.535897
2016-07-18,133.663978
2016-07-19,133.857486
2016-07-20,134.216516
2016-07-21,133.69742
2016-07-22,134.319539
2016-07-25,134.225274
2016-07-26,133.679582
2016-07-27,133.169999
2016-07-28,133.128517
2016-07-29,133.345707
2016-08-01,133.269826
2016-08-02,132.520037
2016-08-03,132.273755
2016-08-04,132.43091
2016-08-05,132.896806
2016-08-08,132.619317
2016-08-09,132.519575
2016-08-10,131.868467
2016-08-11,132.333398
2016-08-12,132.543865
2016-08-15,132.588578
2016-08-16,131.878727
2016-08-17,131.896328
2016-08-18,132.087718
2016-08-19,131.81021
2016-08-22,131.686111
2016-08-23,131.585406
2016-08-24,131.268735
2016-08-25,130.810098
2016-08-26,130.32009
2016-08-29,131.091679
2016-08-30,130.390245
2016-08-31,130.32225
2016-09-01,130.655524
2016-09-02,130.988779
2016-09-06,131.292637
2016-09-07,131.048713
2016-09-08,130.574455
2016-09-09,127.766548
2016-09-12,129.606888
2016-09-13,127.776774
2016-09-14,127.526454
2016-09-15,128.832558
2016-09-16,128.687337
2016-09-19,128.477856
2016-09-20,128.508995
2016-09-21,129.674886
2016-09-22,130.251566
2016-09-23,129.762996
2016-09-26,128.582143
2016-09-27,129.731571
2016-09-28,129.600438
2016-09-29,128.456655
2016-09-30,129.722402
2016-09-30,130.98963
2016-10-03,130.651175
2016-10-04,129.958628
2016-10-05,129.983516
2016-10-06,129.651348
2016-10-07,129.911375
2016-10-10,130.412095
2016-10-11,128.990387
2016-10-12,129.10896
2016-10-13,128.896433
2016-10-14,128.739072
2016-10-17,128.400593
2016-10-18,129.310527
2016-10-19,128.966463
2016-10-20,128.936938
2016-10-21,128.619262
2016-10-24,129.081148
2016-10-25,128.964335
2016-10-26,128.606306
2016-10-27,128.370046
2016-10-28,127.669379
2016-10-31,127.399124
2016-11-01,126.36128
2016-11-02,126.007532
2016-11-03,125.529213
2016-11-04,125.170826
2016-11-07,127.252593
2016-11-08,127.933401
2016-11-09,128.93614
2016-11-10,128.392039
2016-11-11,128.09515
2016-11-14,127.818216
2016-11-15,128.731536
2016-11-16,129.038858
2016-11-17,129.211486
2016-11-18,128.62167
2016-11-21,129.371183
2016-11-22,129.616203
2016-11-23,129.194806
2016-11-25,130.111363
2016-11-28,129.568723
2016-11-29,130.12443
2016-11-30,128.757443
2016-12-01,127.81529
2016-12-02,128.367542
2016-12-05,128.557692
2016-12-06,128.744723
2016-12-07,129.780605
2016-12-08,129.812038
2016-12-09,130.63053
2016-12-12,131.585979
2016-12-13,132.586717
2016-12-14,131.49656
2016-12-15,132.455171
2016-12-16,132.872264
2016-12-19,133.145095
2016-12-20,133.286114
2016-12-21,132.790948
2016-12-22,132.613346
2016-12-23,132.921323
2016-12-27,132.960448
2016-12-28,132.161712
2016-12-29,132.492351
2016-12-30,131.907326
2016-12-30,131.284317
2017-01-03,132.029554
2017-01-04,132.276055
2017-01-05,132.617272
2017-01-06,132.390421
2017-01-09,132.254357
2017-01-10,132.106207
2017-01-11,132.058983
2017-01-12,131.997966
2017-01-13,132.027901
2017-01-17,132.388057
2017-01-18,131.944934
2017-01-19,131.262089
2017-01-20,131.712052
2017-01-23,131.431671
2017-01-24,131.358086
2017-01-25,132.146021
2017-01-26,131.781991
2017-01-27,131.817999
2017-01-30,131.733835
2017-01-31,132.274963
2017-02-01,132.090112
2017-02-02,132.488237
2017-02-03,132.91103
2017-02-06,132.674112
2017-02-07,132.986393
2017-02-08,133.423847
2017-02-09,134.010573
2017-02-10,133.920822
2017-02-13,134.255299
2017-02-14,134.837861
2017-02-15,135.798069
2017-02-16,136.089556
2017-02-17,136.286499
2017-02-21,137.411419
2017-02-22,137.349688
2017-02-23,137.87136
2017-02-24,138.769415
2017-02-27,138.415907
2017-02-28,137.462611
2017-03-01,138.353481
2017-03-02,138.405312
2017-03-03,138.01438
2017-03-06,137.505233
2017-03-07,136.993316
2017-03-08,136.756749
2017-03-09,137.200881
2017-03-10,137.776392
2017-03-13,137.723376
2017-03-14,137.650991
2017-03-15,138.959
2017-03-16,138.640361
2017-03-17,138.571534
2017-03-20,138.599983
