Date,Index_Value
2013-01-02,100.0
2013-03-28,100.347775
2013-04-01,99.90148
2013-04-02,101.022433
2013-04-03,99.887122
2013-04-04,100.248206
2013-04-05,99.668837
2013-04-08,100.47342
2013-04-09,100.86064
2013-04-10,102.348634
2013-04-11,102.687822
2013-04-12,102.818936
2013-04-15,100.844877
2013-04-16,102.325959
2013-04-17,101.045587
2013-04-18,100.031053
2013-04-19,101.356458
2013-04-22,101.716169
2013-04-23,102.802858
2013-04-24,102.206649
2013-04-25,102.537889
2013-04-26,102.542197
2013-04-29,103.005444
2013-04-30,102.847547
2013-05-01,102.198011
2013-05-02,103.233351
2013-05-03,104.29344
2013-05-06,104.624426
2013-05-07,105.174918
2013-05-08,105.769766
2013-05-09,105.585349
2013-05-10,106.106917
2013-05-13,106.318766
2013-05-14,107.552409
2013-05-15,108.533358
2013-05-16,107.512752
2013-05-17,108.496391
2013-05-20,108.402353
2013-05-21,108.8817
2013-05-22,108.574829
2013-05-23,108.208728
2013-05-24,108.497944
2013-05-28,109.341343
2013-05-29,108.481272
2013-05-30,108.93347
2013-05-31,107.101149
2013-06-03,107.776087
2013-06-04,106.964017
2013-06-05,105.169801
2013-06-06,106.128716
2013-06-07,107.730488
2013-06-10,107.781811
2013-06-11,106.7262
2013-06-12,105.609973
2013-06-13,107.098944
2013-06-14,106.324274
2013-06-17,107.081993
2013-06-18,108.006609
2013-06-19,106.294333
2013-06-20,103.272633
2013-06-21,103.784006
2013-06-24,102.674766
2013-06-25,103.634018
2013-06-26,104.850907
2013-06-27,105.593473
2013-06-28,104.46711
2013-06-28,103.588188
2013-07-01,104.248646
2013-07-02,104.14206
2013-07-03,104.347791
2013-07-05,105.611587
2013-07-08,106.219054
2013-07-09,107.124319
2013-07-10,107.042996
2013-07-11,108.466738
2013-07-12,108.682446
2013-07-15,108.641796
2013-07-16,108.379511
2013-07-17,108.771804
2013-07-18,109.125851
2013-07-19,109.032095
2013-07-22,109.479147
2013-07-23,109.595816
2013-07-24,109.470376
2013-07-25,109.842282
2013-07-26,109.881508
2013-07-29,109.621162
2013-07-30,109.604772
2013-07-31,109.414633
2013-08-01,110.556691
2013-08-02,110.81702
2013-08-05,110.705174
2013-08-06,110.311657
2013-08-07,109.99167
2013-08-08,110.367418
2013-08-09,109.730371
2013-08-12,109.569982
2013-08-13,109.928642
2013-08-14,109.272417
2013-08-15,107.775617
2013-08-16,107.563136
2013-08-19,107.08905
2013-08-20,107.181943
2013-08-21,106.692879
2013-08-22,107.540218
2013-08-23,108.147673
2013-08-26,107.648122
2013-08-27,106.036984
2013-08-28,106.390095
2013-08-29,106.726953
2013-08-30,106.532662
2013-09-03,106.77283
2013-09-04,107.526121
2013-09-05,107.687553
2013-09-06,107.519992
2013-09-09,108.356625
2013-09-10,109.468755
2013-09-11,109.900823
2013-09-12,109.829526
2013-09-13,110.182168
2013-09-16,110.763022
2013-09-17,111.285086
2013-09-18,112.562799
2013-09-19,112.596775
2013-09-20,111.813267
2013-09-23,111.371902
2013-09-24,110.752311
2013-09-25,110.385602
2013-09-26,110.899487
2013-09-27,110.54876
2013-09-30,109.775043
2013-09-30,108.907879
2013-10-01,109.510142
2013-10-02,109.140741
2013-10-03,108.177965
2013-10-04,108.889828
2013-10-07,107.944382
2013-10-08,106.676143
2013-10-09,106.822686
2013-10-10,109.174429
2013-10-11,110.014289
2013-10-14,110.557641
2013-10-15,109.769226
2013-10-16,111.427836
2013-10-17,112.32894
2013-10-18,112.729946
2013-10-21,112.637553
2013-10-22,113.045774
2013-10-23,112.511383
2013-10-24,112.942308
2013-10-25,113.648659
2013-10-28,113.765435
2013-10-29,114.469864
2013-10-30,113.992408
2013-10-31,113.686012
2013-11-01,114.045598
2013-11-04,114.292274
2013-11-05,114.321235
2013-11-06,115.053595
2013-11-07,113.560285
2013-11-08,115.051327
2013-11-11,115.109814
2013-11-12,114.775429
2013-11-13,115.680115
2013-11-14,116.523016
2013-11-15,117.048109
2013-11-18,116.704031
2013-11-19,116.663023
2013-11-20,116.263826
2013-11-21,117.217944
2013-11-22,117.770605
2013-11-25,117.97951
2013-11-26,117.926305
2013-11-27,118.33993
2013-11-29,118.403276
2013-12-02,117.810867
2013-12-03,117.605892
2013-12-04,117.469817
2013-12-05,116.810363
2013-12-06,118.195941
2013-12-09,118.431927
2013-12-10,118.204585
2013-12-11,116.947237
2013-12-12,116.396003
2013-12-13,116.344271
2013-12-16,117.088775
2013-12-17,116.730705
2013-12-18,119.255163
2013-12-19,119.330396
2013-12-20,119.759366
2013-12-23,120.366044
2013-12-24,120.728077
2013-12-26,121.498663
2013-12-27,121.569198
2013-12-30,121.478724
2013-12-31,121.921827
2013-12-31,122.33895
2014-01-02,121.43147
2014-01-03,121.469515
2014-01-06,121.196738
2014-01-07,122.191505
2014-01-08,122.25161
2014-01-09,122.206932
2014-01-10,122.153079
2014-01-13,120.290944
2014-01-14,121.640025
2014-01-15,122.596848
2014-01-16,122.150794
2014-01-17,121.830544
2014-01-21,121.913971
2014-01-22,122.272061
2014-01-23,121.03141
2014-01-24,118.328569
2014-01-27,117.850992
2014-01-28,118.758455
2014-01-29,117.508841
2014-01-30,118.978955
2014-01-31,117.785615
2014-02-03,115.346731
2014-02-04,115.851183
2014-02-05,115.636933
2014-02-06,117.135258
2014-02-07,118.702949
2014-02-10,119.011153
2014-02-11,120.482777
2014-02-12,120.572185
2014-02-13,121.372826
2014-02-14,121.996937
2014-02-18,121.887016
2014-02-19,120.9681
2014-02-20,121.906676
2014-02-21,121.623613
2014-02-24,122.505163
2014-02-25,122.469422
2014-02-26,122.599778
2014-02-27,123.369075
2014-02-28,123.606188
2014-03-03,122.649602
2014-03-04,124.493497
2014-03-05,124.541225
2014-03-06,124.65938
2014-03-07,124.756177
2014-03-10,124.831865
2014-03-11,124.12199
2014-03-12,124.283576
2014-03-13,122.503473
2014-03-14,121.829561
2014-03-17,123.16917
2014-03-18,124.288336
2014-03-19,123.820391
2014-03-20,124.786976
2014-03-21,124.380547
2014-03-24,123.698667
2014-03-25,124.021597
2014-03-26,123.172778
2014-03-27,122.736701
2014-03-28,123.186936
2014-03-31,124.047818
2014-03-31,125.113852
2014-04-01,125.89995
2014-04-02,126.415208
2014-04-03,125.968909
2014-04-04,124.32344
2014-04-07,122.954239
2014-04-08,123.331559
2014-04-09,124.888875
2014-04-10,122.155506
2014-04-11,121.019237
2014-04-14,122.186982
2014-04-15,122.955901
2014-04-16,123.999543
2014-04-17,124.1306
2014-04-21,124.635467
2014-04-22,125.251542
2014-04-23,124.660384
2014-04-24,124.838735
2014-04-25,123.659648
2014-04-28,124.046215
2014-04-29,124.614757
2014-04-30,124.719337
2014-05-01,124.775623
2014-05-02,124.662689
2014-05-05,124.778591
2014-05-06,123.515407
2014-05-07,124.341711
2014-05-08,124.318325
2014-05-09,124.551369
2014-05-12,125.760866
2014-05-13,125.82729
2014-05-14,125.184079
2014-05-15,123.904919
2014-05-16,124.72334
2014-05-19,125.255126
2014-05-20,124.196133
2014-05-21,125.434515
2014-05-22,125.963018
2014-05-23,126.382733
2014-05-27,127.035173
2014-05-28,126.714743
2014-05-29,127.403782
2014-05-30,127.496018
2014-06-02,127.549272
2014-06-03,127.590238
2014-06-04,127.7175
2014-06-05,128.829198
2014-06-06,129.5781
2014-06-09,129.71919
2014-06-10,129.95252
2014-06-11,129.628716
2014-06-12,128.465097
2014-06-13,128.625977
2014-06-16,128.782131
2014-06-17,128.986266
2014-06-18,130.188142
2014-06-19,130.268215
2014-06-20,130.528431
2014-06-23,130.561177
2014-06-24,129.687365
2014-06-25,130.1856
2014-06-26,129.934727
2014-06-27,129.988425
2014-06-30,129.807868
2014-06-30,129.741875
2014-07-01,130.587327
2014-07-02,130.77089
2014-07-03,131.623096
2014-07-07,131.082537
2014-07-08,130.205176
2014-07-09,130.85892
2014-07-10,130.280336
2014-07-11,130.724805
2014-07-14,131.688147
2014-07-15,131.434113
2014-07-16,131.92325
2014-07-17,130.572719
2014-07-18,131.93401
2014-07-21,131.750739
2014-07-22,132.374913
2014-07-23,132.405928
2014-07-24,132.40527
2014-07-25,131.633702
2014-07-28,131.622587
2014-07-29,130.76829
