,NKE,ORCL,CRM,TXN,BRK-B,NVDA,AMZN,JNJ,TSLA,MO,ADBE,UNH,HUM,GE,GOOGL,AMGN,AAPL,WMT,SPGI,CAT,RTX,LIN,TMO,SLB,BKNG,EMR,CMCSA,KO,AXP,LLY
2020-03-31,0.065004,0.065004,0.065004,0.065004,0.065004,0.0465434,0.09998916,0.0465434,0.09999949,0.0465434,0.0465434,0.0465434,0.0,0.0,0.0,0.04845487,0.0,0.0,0.04845487,0.04845487,0.04845487,0.04845487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.06130289,0.06130289,0.06130289,0.06130289,0.06130289,0.04412477,0.08877049,0.04412477,0.08877049,0.04412477,0.04412477,0.04412477,3.13e-06,0.0,0.02110041,0.02486092,0.02110041,0.02110041,0.02486092,0.02486092,0.02486092,0.02486092,0.02692434,0.02692434,0.02692434,0.02692434,3.7e-06,3.7e-06,3.7e-06,3.7e-06
2020-09-30,0.06275423,0.06275423,0.06275423,0.06275423,0.06275423,0.04725605,0.08580744,0.04725605,0.08580744,0.04725605,0.04725605,0.04725605,5.4e-07,1.05e-06,0.02378359,0.02080177,0.02378359,0.02378359,0.02080177,0.02080177,0.02080177,0.02080177,0.02574207,0.02574207,0.02574207,0.02574207,1.07e-06,1.07e-06,1.07e-06,1.07e-06
2020-12-31,0.02337859,0.02337859,0.02337859,0.02337859,0.02337859,0.05456724,0.0515165,0.05456724,0.0515165,0.05456724,0.05456724,0.05456724,0.0,0.05553619,0.01127951,0.01406976,0.01127951,0.01127951,0.01406976,0.01406976,0.01406976,0.01406976,0.04032501,0.04032501,0.04032501,0.04032501,0.04655539,0.04655539,0.04655539,0.04655539
2021-03-31,0.01205789,0.01205789,0.01205789,0.01205789,0.01205789,0.05614499,0.0730796,0.05614499,0.0730796,0.05614499,0.05614499,0.05614499,0.0,0.0,0.01415648,0.0577737,0.01415648,0.01415648,0.0577737,0.0577737,0.0577737,0.0577737,0.04334033,0.04334033,0.04334033,0.04334033,0.00203183,0.00203183,0.00203183,0.00203183
2021-06-30,0.00272848,0.00272848,0.00272848,0.00272848,0.00272848,0.05607772,0.05434049,0.05607772,0.05434049,0.05607772,0.05607772,0.05607772,1.75e-06,0.0,0.02540491,0.07121597,0.02540491,0.02540491,0.07121597,0.07121597,0.07121597,0.07121597,0.04124821,0.04124821,0.04124821,0.04124821,0.0,0.0,0.0,0.0
2021-09-30,0.00882372,0.00882372,0.00882372,0.00882372,0.00882372,0.05231655,0.10000068,0.05231655,0.10000068,0.05231655,0.05231655,0.05231655,2.3e-07,8.8e-07,0.0303464,0.06001125,0.0303464,0.0303464,0.06001125,0.06001125,0.06001125,0.06001125,0.02579962,0.02579962,0.02579962,0.02579962,5.7e-07,5.7e-07,5.7e-07,5.7e-07
2021-12-31,0.02453247,0.02453247,0.02453247,0.02453247,0.02453247,0.07404393,0.04830948,0.07404393,0.04830948,0.07404393,0.07404393,0.07404393,0.0,0.04493459,0.00267979,0.01767682,0.00267979,0.00267979,0.01767682,0.01767682,0.01767682,0.01767682,0.03227433,0.03227433,0.03227433,0.03227433,0.03501176,0.03501176,0.03501176,0.03501176
2022-03-31,2.1e-07,2.1e-07,2.1e-07,2.1e-07,2.1e-07,0.04470832,0.02056176,0.04470832,0.02056176,0.04470832,0.04470832,0.04470832,4e-08,0.09705324,0.03798542,0.08550247,0.03798542,0.03798542,0.08550247,0.08550247,0.08550247,0.08550247,0.02420297,0.02420297,0.02420297,0.02420297,1e-08,1e-08,1e-08,1e-08
2022-06-30,5.7e-07,5.7e-07,5.7e-07,5.7e-07,5.7e-07,0.04935162,0.03586528,0.04935162,0.03586528,0.04935162,0.04935162,0.04935162,1.83e-06,2.38e-06,0.02845486,0.0772274,0.02845486,0.02845486,0.0772274,0.0772274,0.0772274,0.0772274,0.03094498,0.03094498,0.03094498,0.03094498,0.0215557,0.0215557,0.0215557,0.0215557
2022-09-30,0.00306468,0.00306468,0.00306468,0.00306468,0.00306468,0.04386374,0.04964789,0.04386374,0.04964789,0.04386374,0.04386374,0.04386374,0.0,0.00849086,0.02653167,0.07167843,0.02653167,0.02653167,0.07167843,0.07167843,0.07167843,0.07167843,0.02299251,0.02299251,0.02299251,0.02299251,0.03190387,0.03190387,0.03190387,0.03190387
2022-12-31,0.00522295,0.00522295,0.00522295,0.00522295,0.00522295,0.04989969,0.04671043,0.04989969,0.04671043,0.04989969,0.04989969,0.04989969,0.03681131,0.01192286,0.0192373,0.02128796,0.0192373,0.0192373,0.02128796,0.02128796,0.02128796,0.02128796,0.04911342,0.04911342,0.04911342,0.04911342,0.05540658,0.05540658,0.05540658,0.05540658
