2020-03-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2020-06-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2020-09-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2020-12-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2021-03-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2021-06-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2021-09-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2021-12-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2022-03-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2022-06-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2022-09-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2022-12-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2023-03-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2023-06-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2023-09-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2023-12-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2024-03-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2024-06-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2024-09-30: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
2024-12-31: HUM, NVDA, SYK, NKE, PFE, META, TXN, AMZN, V, HD...
